measure time,temperature (ºC),air humidity (%),light (lux),water (%),ec (µS),battery (%)
10:27:4 8/4/2024,22.7,88.8,0,35.73691,57.532864,84.432525
11:27:4 8/4/2024,23.9,90.6,0,35.888717,57.097272,83.896699
12:27:4 8/4/2024,24.3,90.7,0,35.833652,56.705791,83.896699
13:27:4 8/4/2024,24.0,90.6,30,36.025684,56.366575,84.432525
14:27:4 8/4/2024,25.1,90.9,2500,35.625762,56.137067,84.432525
15:27:4 8/4/2024,23.582751,90.7,5680,36.256224,55.948763,84.432525
16:27:4 8/4/2024,24.749225,93.1,12900,37.109966,57.184125,83.896699
17:27:4 8/4/2024,26.387754,62.1,17890,37.735274,63.066917,83.896699
18:27:4 8/4/2024,28.219525,91.6,38810,37.771887,66.130915,83.896699
19:27:4 8/4/2024,29.356862,37.9,39290,37.476085,65.666988,83.896699
20:27:4 8/4/2024,27.880866,26.9,20180,37.173758,65.065622,83.896699
21:27:4 8/4/2024,28.729394,29.7,40270,37.186483,64.0636,83.896699
22:27:4 8/4/2024,30.712929,21.5,39780,36.813012,63.031609,83.356354
23:27:4 8/4/2024,28.182329,29.0,28970,36.734607,62.120518,83.896699
0:27:4 9/4/2024,27.054567,33.0,9860,36.175191,61.433564,83.896699
1:27:4 9/4/2024,27.1,60.2,2400,35.984699,60.574641,83.896699
2:27:4 9/4/2024,26.1,64.7,0,36.120966,59.670415,83.896699
3:27:4 9/4/2024,25.0,71.8,0,35.957325,58.793796,83.896699
4:27:4 9/4/2024,25.2,79.2,0,35.819862,57.948595,83.896699
5:27:4 9/4/2024,25.0,85.7,0,35.653608,57.197851,83.896699
6:27:4 9/4/2024,25.1,89.0,0,35.471925,56.362065,83.896699
7:27:4 9/4/2024,24.8,90.4,0,35.401616,55.872725,83.896699
8:27:4 9/4/2024,25.1,90.7,0,35.55598,55.565157,83.896699
9:27:4 9/4/2024,24.8,90.8,0,35.260288,55.330059,83.896699
10:27:4 9/4/2024,24.7,91.1,0,35.260288,55.051898,83.896699
11:27:4 9/4/2024,24.8,91.3,0,35.160801,54.814586,83.896699
12:27:4 9/4/2024,24.8,91.4,0,35.132293,54.565201,83.896699
13:27:4 9/4/2024,25.0,91.6,40,35.513996,54.286541,83.896699
14:27:4 9/4/2024,24.5,91.8,840,35.569956,53.966114,83.896699
15:27:4 9/4/2024,24.5,92.0,1290,43.03561,134.714312,83.896699
16:27:4 9/4/2024,25.411186,99.9,33000,40.948872,75.643864,83.896699
17:27:4 9/4/2024,25.503059,79.5,11290,40.103976,68.785731,83.896699
18:27:4 9/4/2024,26.128609,91.2,10040,39.595488,67.580287,83.896699
19:27:4 9/4/2024,25.997073,92.9,17030,39.211277,65.840578,83.896699
20:27:4 9/4/2024,26.767035,92.4,22160,38.908562,64.557502,83.896699
21:27:4 9/4/2024,26.891043,88.2,12100,39.017838,63.329822,83.896699
22:27:4 9/4/2024,25.729941,88.5,16900,38.618495,62.639516,83.896699
23:27:4 9/4/2024,26.084912,84.6,10670,38.697428,62.125488,83.896699
0:27:4 10/4/2024,24.941821,83.4,4060,38.550352,61.586108,83.896699
1:27:4 10/4/2024,25.8,86.4,1730,38.096659,61.085611,83.896699
2:27:4 10/4/2024,25.1,90.1,0,38.238223,60.61827,83.896699
3:27:4 10/4/2024,24.2,90.5,0,37.820541,60.168944,83.896699
4:27:4 10/4/2024,23.7,90.7,0,38.037165,59.617928,83.896699
5:27:4 10/4/2024,23.7,91.4,0,37.92933,59.232853,83.896699
6:27:4 10/4/2024,23.5,92.4,0,37.856909,58.812613,83.896699
7:27:4 10/4/2024,23.9,92.9,0,37.525843,58.418717,83.896699
8:27:4 10/4/2024,24.0,92.9,0,37.463618,58.180854,83.896699
9:27:4 10/4/2024,24.2,93.1,0,37.710808,57.874469,83.896699
10:27:4 10/4/2024,23.5,93.0,0,37.64944,57.689566,83.896699
11:27:4 10/4/2024,24.0,93.2,0,37.30051,57.500655,83.896699
12:27:4 10/4/2024,23.8,93.1,0,37.674022,57.220735,83.896699
13:27:4 10/4/2024,23.6,93.3,50,37.989357,57.698797,83.896699
14:27:4 10/4/2024,23.422584,94.6,7080,37.796237,57.916153,83.896699
15:27:4 10/4/2024,23.845386,94.9,5660,37.989357,58.545038,83.896699
16:27:4 10/4/2024,24.602882,98.3,8900,38.974282,60.773652,83.356354
17:27:4 10/4/2024,27.375571,99.9,29110,38.842382,62.299683,83.356354
18:27:4 10/4/2024,28.032471,49.3,36140,38.674938,62.055946,83.356354
19:27:4 10/4/2024,29.254364,35.2,37960,38.343256,61.734093,83.356354
20:27:4 10/4/2024,28.440493,34.8,25550,38.296696,61.536859,83.356354
21:27:4 10/4/2024,27.95689,34.6,8620,38.013285,61.389348,83.356354
22:27:4 10/4/2024,27.095128,40.4,15240,37.989357,61.183426,83.356354
23:27:4 10/4/2024,25.774846,48.8,6120,37.735274,60.934306,83.356354
0:27:4 11/4/2024,24.989527,60.8,5680,37.92933,60.608572,83.356354
1:27:4 11/4/2024,26.4,70.2,1170,37.538254,60.221916,83.356354
2:27:4 11/4/2024,25.5,80.9,0,37.376027,59.780309,83.356354
3:27:4 11/4/2024,25.2,84.1,0,37.262601,59.351437,83.356354
4:27:4 11/4/2024,24.5,85.9,0,37.199197,59.001114,83.356354
5:27:4 11/4/2024,24.5,90.1,0,37.148274,58.610645,83.356354
6:27:4 11/4/2024,24.7,90.8,0,37.109966,58.320656,83.356354
7:27:4 11/4/2024,24.6,90.9,0,37.0459,58.069254,83.356354
8:27:4 11/4/2024,24.4,91.1,0,37.325727,57.828188,83.356354
9:27:4 11/4/2024,24.4,91.0,0,37.109966,57.680337,83.356354
10:27:4 11/4/2024,24.2,91.1,0,36.903996,57.519058,83.356354
11:27:4 11/4/2024,24.3,91.5,0,36.903996,57.316947,83.356354
12:27:4 11/4/2024,24.2,91.9,0,36.839061,57.156684,83.356354
13:27:4 11/4/2024,24.3,92.0,640,37.148274,57.056176,83.356354
14:27:4 11/4/2024,24.8,92.6,1490,37.109966,56.933068,83.356354
15:27:4 11/4/2024,27.611227,50.7,26320,36.78692,56.769337,83.356354
16:27:4 11/4/2024,28.513323,29.4,14410,36.773857,56.737555,83.356354
17:27:4 11/4/2024,31.312113,7.0,37780,36.773857,56.914852,82.81137
18:27:4 11/4/2024,31.687278,4.1,36230,36.78692,57.307777,82.81137
19:27:4 11/4/2024,32.189486,2.0,38720,36.826042,57.786566,82.81137
20:27:4 11/4/2024,32.379667,5.1,39490,36.865067,58.283343,82.81137
21:27:4 11/4/2024,32.051919,11.1,39880,36.865067,58.845557,82.81137
22:27:4 11/4/2024,31.105525,14.9,40370,36.981561,59.266032,82.81137
23:27:4 11/4/2024,28.219525,19.8,6960,36.91695,59.584551,83.356354
0:27:4 12/4/2024,27.29606,26.0,15510,36.629472,59.560722,83.356354
1:27:4 12/4/2024,25.864193,34.5,3520,36.483811,59.199692,83.356354
2:27:4 12/4/2024,27.3,46.2,0,36.296603,58.68102,83.356354
3:27:4 12/4/2024,26.3,53.7,0,36.148099,58.157586,83.356354
4:27:4 12/4/2024,25.8,65.2,0,36.16165,57.509855,83.356354
5:27:4 12/4/2024,25.1,74.5,0,35.874966,57.037921,83.356354
6:27:4 12/4/2024,25.6,81.9,0,35.943623,56.55176,83.356354
7:27:4 12/4/2024,25.1,86.4,0,35.625762,56.114617,83.356354
8:27:4 12/4/2024,24.7,86.4,0,35.943623,55.770013,83.356354
9:27:4 12/4/2024,24.7,89.4,0,35.833652,55.325633,83.356354
10:27:4 12/4/2024,24.4,90.0,0,35.888717,54.959488,83.356354
11:27:4 12/4/2024,24.3,90.6,0,36.457191,54.731331,83.356354
12:27:4 12/4/2024,24.5,90.8,0,36.483811,54.578298,83.356354
13:27:4 12/4/2024,24.5,91.5,80,36.269694,54.504122,83.356354
14:27:4 12/4/2024,23.948972,92.7,4570,36.695261,54.517205,83.356354
15:27:4 12/4/2024,26.041067,99.9,9960,36.734607,54.67444,82.81137
16:27:4 12/4/2024,27.335876,99.9,32520,36.483811,54.83213,82.81137
17:27:4 12/4/2024,30.865334,13.9,20530,36.296603,54.095788,82.81137
18:27:4 12/4/2024,27.256121,24.9,19500,36.283153,54.447467,82.81137
19:27:4 12/4/2024,30.371212,12.6,33320,36.242744,54.801432,82.81137
20:27:4 12/4/2024,30.558716,12.0,39580,36.202243,55.122409,82.81137
21:27:4 12/4/2024,30.774105,9.7,36050,36.175191,55.392064,82.81137
22:27:4 12/4/2024,30.558716,11.6,24030,36.188722,55.582941,82.81137
23:27:4 12/4/2024,29.626301,15.2,15700,36.175191,55.792326,82.81137
0:27:4 13/4/2024,26.973062,24.0,6120,36.120966,55.935337,82.81137
1:27:4 13/4/2024,28.0,39.8,660,36.025684,55.85038,82.81137
2:27:4 13/4/2024,25.7,56.5,0,35.971017,55.529607,82.81137
3:27:4 13/4/2024,25.8,64.0,0,35.998371,55.117999,82.81137
4:27:4 13/4/2024,25.6,65.4,0,35.709182,54.691939,83.356354
5:27:4 13/4/2024,25.4,68.8,0,35.401616,54.264831,82.81137
6:27:4 13/4/2024,25.1,69.9,0,35.316932,53.914331,83.356354
7:27:4 13/4/2024,25.2,72.6,0,35.44383,53.600389,83.356354
8:27:4 13/4/2024,25.1,76.2,0,35.345198,53.343724,82.81137
9:27:4 13/4/2024,24.5,77.4,0,35.060859,53.04159,83.356354
10:27:4 13/4/2024,24.7,82.9,0,35.302785,52.796048,82.81137
11:27:4 13/4/2024,24.1,84.4,0,34.859628,52.602115,82.81137
12:27:4 13/4/2024,23.7,86.2,0,35.003547,52.346042,83.356354
13:27:4 13/4/2024,22.6,86.6,580,34.787329,52.137076,83.356354
14:27:4 13/4/2024,25.365004,94.8,23440,34.729328,51.908177,82.81137
15:27:4 13/4/2024,26.59983,31.0,9180,35.046545,51.696823,82.81137
16:27:4 13/4/2024,28.800627,18.1,35960,35.003547,51.622433,82.81137
17:27:4 13/4/2024,28.729394,15.5,35530,34.612899,51.676149,82.81137
18:27:4 13/4/2024,29.659592,11.9,38720,34.627483,51.854221,82.261626
19:27:4 13/4/2024,31.428706,1.0,39290,35.046545,52.037069,82.261626
20:27:4 13/4/2024,29.525915,7.1,14370,34.845186,52.492817,82.261626
21:27:4 13/4/2024,27.572246,15.5,35700,34.874061,52.939848,82.81137
22:27:4 13/4/2024,27.688839,18.1,31960,34.845186,53.084041,82.81137
23:27:4 13/4/2024,25.318659,26.2,5770,35.203494,53.105279,82.81137
0:27:4 14/4/2024,26.4,36.9,2610,34.772842,52.948319,82.81137
1:27:4 14/4/2024,25.3,42.8,560,34.642059,52.62737,82.81137
2:27:4 14/4/2024,24.7,46.5,0,34.845186,52.253994,82.81137
3:27:4 14/4/2024,23.5,57.0,0,34.772842,51.833483,82.81137
4:27:4 14/4/2024,23.3,54.0,0,34.671184,51.502808,82.81137
5:27:4 14/4/2024,22.8,59.3,0,34.200985,51.125139,82.81137
6:27:4 14/4/2024,22.0,66.8,0,34.466568,50.729943,82.81137
7:27:4 14/4/2024,22.1,72.1,0,33.97756,50.430509,82.81137
8:27:4 14/4/2024,21.5,76.0,0,33.887664,50.09676,82.81137
9:27:4 14/4/2024,21.2,78.3,0,34.171305,49.824973,82.81137
10:27:4 14/4/2024,21.1,80.0,0,33.706982,49.598289,82.81137
11:27:4 14/4/2024,20.9,80.5,0,33.616202,49.356839,82.81137
12:27:4 14/4/2024,21.2,83.7,0,33.585878,49.120494,82.81137
13:27:4 14/4/2024,21.1,82.9,470,33.932649,48.889191,82.81137
14:27:4 14/4/2024,22.985568,92.1,7320,33.509927,48.70961,82.81137
15:27:4 14/4/2024,30.865334,4.4,26910,33.616202,48.54622,82.261626
16:27:4 14/4/2024,29.185581,5.9,23680,33.646495,48.503518,82.261626
17:27:4 14/4/2024,32.02423,1.0,29180,33.418524,48.68234,82.261626
18:27:4 14/4/2024,32.325613,1.0,35790,33.902667,48.998826,82.261626
19:27:4 14/4/2024,32.778064,1.0,38430,33.722084,49.487313,82.261626
20:27:4 14/4/2024,32.189486,1.0,39580,36.497105,49.761238,82.261626
21:27:4 14/4/2024,31.687278,1.0,40170,36.942827,50.709655,82.261626
22:27:4 14/4/2024,31.884893,1.0,40170,36.760785,51.387571,82.261626
23:27:4 14/4/2024,31.164886,3.7,40170,36.682125,51.643086,82.261626
0:27:4 15/4/2024,27.493933,11.0,5610,36.747701,51.895721,82.261626
1:27:4 15/4/2024,28.8,23.6,1670,36.616283,51.37113,82.81137
2:27:4 15/4/2024,26.3,37.1,0,36.229254,51.26849,82.81137
3:27:4 15/4/2024,24.4,48.6,0,35.861204,50.904755,82.81137
4:27:4 15/4/2024,24.6,63.2,0,35.75076,50.382119,82.81137
5:27:4 15/4/2024,24.4,75.7,0,35.79225,50.024672,82.81137
6:27:4 15/4/2024,22.8,76.7,0,35.457882,49.824973,82.81137
7:27:4 15/4/2024,22.8,81.0,0,35.667516,49.404244,82.81137
8:27:4 15/4/2024,22.7,83.0,0,35.160801,48.732996,82.81137
9:27:4 15/4/2024,22.5,84.2,0,35.415696,48.414354,82.81137
10:27:4 15/4/2024,22.3,84.7,0,34.974836,48.182522,82.81137
11:27:4 15/4/2024,23.1,89.4,0,35.316932,48.0209,82.81137
12:27:4 15/4/2024,22.7,88.8,0,35.103747,47.729819,82.81137
13:27:4 15/4/2024,22.9,89.1,400,35.246104,47.539281,82.81137
14:27:4 15/4/2024,23.897282,96.4,8280,35.060859,47.391189,82.81137
15:27:4 15/4/2024,30.052569,99.9,26580,34.845186,47.270023,82.261626
16:27:4 15/4/2024,28.729394,6.5,21780,35.017889,47.183126,82.261626
17:27:4 15/4/2024,33.215296,1.0,33320,34.830735,47.292718,81.707003
18:27:4 15/4/2024,33.341144,1.0,36320,35.260288,47.489866,81.707003
19:27:4 15/4/2024,33.139198,1.0,38620,35.23191,47.994016,81.707003
20:27:4 15/4/2024,32.325613,1.0,39490,35.260288,48.476364,81.707003
21:27:4 15/4/2024,31.6588,1.0,39780,35.513996,49.05766,81.707003
22:27:4 15/4/2024,31.63026,1.0,40170,35.429768,49.459608,81.707003
23:27:4 15/4/2024,30.148985,2.0,40270,35.003547,49.729401,81.707003
0:27:4 16/4/2024,27.76599,10.2,9620,35.075164,49.924723,82.261626
1:27:4 16/4/2024,29.0,16.7,1570,34.215813,49.805047,82.261626
2:27:4 16/4/2024,26.5,26.5,0,33.902667,49.384486,82.261626
3:27:4 16/4/2024,25.0,35.6,0,33.601044,48.86573,82.261626
4:27:4 16/4/2024,24.0,44.8,0,33.449023,48.410481,82.261626
5:27:4 16/4/2024,23.1,55.8,0,33.509927,48.013217,82.261626
6:27:4 16/4/2024,22.3,63.5,0,33.585878,47.581134,82.261626
7:27:4 16/4/2024,22.0,68.0,0,33.326837,47.21711,82.261626
8:27:4 16/4/2024,21.7,71.4,0,32.988264,47.554496,82.261626
9:27:4 16/4/2024,22.3,74.2,0,33.280888,47.482268,82.261626
10:27:4 16/4/2024,21.7,73.2,0,32.786473,47.209556,82.261626
11:27:4 16/4/2024,21.2,73.2,0,32.786473,46.99853,82.261626
12:27:4 16/4/2024,21.5,76.2,0,33.173401,46.754772,82.261626
13:27:4 16/4/2024,20.6,75.1,490,32.80204,46.556952,82.261626
14:27:4 16/4/2024,22.70478,92.4,26060,32.833152,46.371096,82.261626
15:27:4 16/4/2024,30.084787,1.0,24930,32.770899,46.245138,81.707003
16:27:4 16/4/2024,28.729394,1.0,23390,32.848697,46.156432,81.707003
17:27:4 16/4/2024,33.18998,1.0,31960,32.988264,46.21555,81.707003
18:27:4 16/4/2024,33.490571,1.0,36770,33.296212,46.434204,81.707003
19:27:4 16/4/2024,33.215296,1.0,38620,33.479491,46.904627,81.707003
20:27:4 16/4/2024,32.985653,1.0,38340,33.676755,47.379817,81.707003
21:27:4 16/4/2024,32.725645,1.0,34920,33.449023,47.764197,81.147383
22:27:4 16/4/2024,30.496515,1.0,38240,33.342138,48.163252,81.707003
23:27:4 16/4/2024,30.804586,1.0,39100,33.019197,48.394992,81.707003
0:27:4 17/4/2024,27.611227,6.9,8490,32.410671,47.963309,81.707003
1:27:4 17/4/2024,29.3,13.6,1970,32.363404,47.871308,81.707003
2:27:4 17/4/2024,26.2,21.4,0,31.903257,47.760376,81.707003
3:27:4 17/4/2024,24.3,29.1,0,31.91922,47.5583,82.261626
4:27:4 17/4/2024,23.4,34.5,0,31.582598,47.024857,82.261626
5:27:4 17/4/2024,22.7,39.2,0,31.550387,46.53461,82.261626
6:27:4 17/4/2024,21.4,44.2,0,31.855327,46.449065,82.261626
7:27:4 17/4/2024,21.2,53.5,0,31.421288,46.104766,82.261626
8:27:4 17/4/2024,22.4,44.8,0,31.356584,45.850969,82.261626
9:27:4 17/4/2024,22.8,43.1,0,31.25934,45.507463,82.261626
10:27:4 17/4/2024,21.9,45.8,0,31.550387,45.278682,82.261626
11:27:4 17/4/2024,22.3,46.4,0,31.080475,45.148467,82.261626
12:27:4 17/4/2024,22.5,48.7,0,31.453601,44.849675,82.261626
13:27:4 17/4/2024,22.2,51.2,430,31.096766,44.867618,82.261626
14:27:4 17/4/2024,23.205913,45.9,6400,31.340393,44.835325,81.707003
15:27:4 17/4/2024,26.215566,22.4,12830,31.534272,44.817394,81.707003
16:27:4 17/4/2024,28.941933,2.2,27580,31.582598,44.842499,81.707003
17:27:4 17/4/2024,32.908195,1.0,35880,31.598693,44.878388,81.147383
18:27:4 17/4/2024,33.062653,1.0,37500,31.29178,44.874797,81.147383
19:27:4 17/4/2024,31.164886,1.0,37410,31.405121,45.213528,81.147383
20:27:4 17/4/2024,32.40661,1.0,39780,31.485889,45.431075,81.147383
21:27:4 17/4/2024,31.601657,1.0,40270,31.791328,45.613163,81.147383
22:27:4 17/4/2024,31.341359,1.0,38530,31.437448,45.594921,81.147383
23:27:4 17/4/2024,29.659592,1.0,12010,31.16187,45.730082,81.707003
0:27:4 18/4/2024,27.918933,1.3,7220,31.356584,45.810638,81.707003
1:27:4 18/4/2024,30.7,7.0,1310,30.786195,45.810638,81.707003
2:27:4 18/4/2024,27.8,11.4,0,30.786195,45.65332,81.707003
3:27:4 18/4/2024,27.1,13.7,0,30.440451,45.463797,81.707003
4:27:4 18/4/2024,25.6,17.5,0,30.341203,45.264195,81.707003
5:27:4 18/4/2024,24.5,20.9,0,30.274926,45.004223,81.707003
6:27:4 18/4/2024,24.8,21.8,0,30.704107,44.731428,81.707003
7:27:4 18/4/2024,24.0,23.4,0,30.489998,44.478073,81.707003
8:27:4 18/4/2024,23.2,27.7,0,30.473488,44.268631,81.707003
9:27:4 18/4/2024,22.3,31.7,0,30.225159,44.046079,81.707003
10:27:4 18/4/2024,22.2,33.1,0,30.374308,43.842178,81.707003
11:27:4 18/4/2024,23.1,31.9,0,30.506503,43.674147,81.707003
12:27:4 18/4/2024,21.3,34.5,0,30.489998,43.541579,81.707003
13:27:4 18/4/2024,22.0,37.2,400,30.058915,43.3747,81.707003
14:27:4 18/4/2024,23.582751,32.3,6000,30.225159,43.198092,81.707003
15:27:4 18/4/2024,30.651463,1.0,28540,29.958909,43.132481,81.147383
16:27:4 18/4/2024,28.90675,1.0,34750,29.992266,43.001557,81.147383
17:27:4 18/4/2024,33.613795,1.0,37320,29.97559,42.987799,81.147383
18:27:4 18/4/2024,33.490571,1.0,36860,30.008936,43.077307,81.147383
19:27:4 18/4/2024,33.735862,1.0,38620,30.324642,43.326148,81.147383
20:27:4 18/4/2024,33.366168,1.0,39390,30.390852,43.663667,80.582644
21:27:4 18/4/2024,32.699356,1.0,39780,30.456972,44.13779,81.147383
22:27:4 18/4/2024,32.379667,1.0,39980,30.572463,44.236769,81.147383
23:27:4 18/4/2024,32.216826,1.0,22320,30.588939,44.385655,81.147383
0:27:4 19/4/2024,28.585746,1.0,6540,30.423923,44.31115,81.147383
1:27:4 19/4/2024,31.1,3.6,2820,29.808542,44.212004,81.147383
2:27:4 19/4/2024,27.7,8.6,0,29.724821,43.908869,81.147383
3:27:4 19/4/2024,26.0,12.5,0,29.5738,43.838671,81.707003
4:27:4 19/4/2024,24.9,15.6,0,29.202933,43.744082,81.707003
5:27:4 19/4/2024,23.6,18.3,0,29.354939,43.367761,81.707003
6:27:4 19/4/2024,24.0,21.1,0,29.304314,43.111782,81.707003
7:27:4 19/4/2024,24.2,20.2,0,29.084438,42.877891,81.707003
